constant, lambda, clicks, CTR, spend, CPM, CPC
35,2.1e-06,83,0.054%,5842773,37737.4295181073,70394.85542168675
35,2.2e-06,66,0.049%,4492205,33344.7520783848,68063.71212121213
35,2.3e-06,65,0.050%,4185957,32345.972552777177,64399.338461538464
35,2.4e-06,63,0.052%,3706931,30801.766543689966,58840.1746031746
35,2.4999999999999998e-06,62,0.054%,3410936,29562.62783844687,55015.096774193546
35,2.5999999999999997e-06,56,0.050%,3223419,28830.207410985,57561.05357142857
35,2.7e-06,52,0.050%,2829988,27243.381659254126,54422.846153846156
35,2.8e-06,51,0.051%,2659820,26421.17810668521,52153.333333333336
35,2.8999999999999998e-06,51,0.052%,2550954,25915.374768880672,50018.705882352944
40,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
40,2e-07,53,0.064%,6250,76.0553439526875,117.9245283018868
40,3e-07,58,0.065%,6250,69.62081718130375,107.75862068965517
40,4e-07,58,0.060%,6250,65.16322083554888,107.75862068965517
40,5e-07,55,0.054%,6250,61.77842796141073,113.63636363636364
40,6e-07,62,0.058%,6250,58.21209693944079,100.80645161290323
40,7e-07,63,0.056%,6250,55.40288981473274,99.2063492063492
40,8e-07,65,0.055%,6250,53.29217756100889,96.15384615384616
40,9e-07,68,0.056%,6250,51.72342450448959,91.91176470588235
40,1e-06,70,0.056%,6250,50.417456540152465,89.28571428571429
40,1.1e-06,75,0.059%,6250,49.32017076615926,83.33333333333333
40,1.2e-06,75,0.058%,6250,48.47892524161896,83.33333333333333
40,1.2999999999999998e-06,76,0.058%,6250,47.68007811903999,82.23684210526316
40,1.4e-06,77,0.058%,6250,46.899387681594426,81.16883116883118
40,1.5e-06,79,0.059%,6250,46.47807722053662,79.11392405063292
40,1.6e-06,81,0.059%,6250,45.532696118428724,77.1604938271605
40,1.6999999999999998e-06,83,0.059%,6250,44.748976143425836,75.3012048192771
40,1.8e-06,84,0.059%,6250,43.76076514822647,74.4047619047619
40,1.9e-06,86,0.058%,6250,41.83316265402971,72.67441860465117
40,2e-06,80,0.051%,6250,39.87291703881389,78.125
40,2.1e-06,81,0.051%,6250,39.48948000252732,77.1604938271605
40,2.2e-06,84,0.054%,5918774,37951.56326143271,70461.59523809524
40,2.3e-06,68,0.050%,4632623,33737.44119317768,68126.80882352941
40,2.4e-06,66,0.050%,4354087,32939.342588039486,65971.01515151515
40,2.4999999999999998e-06,65,0.053%,3796458,31154.514643973773,58407.04615384615
40,2.5999999999999997e-06,63,0.053%,3666561,30685.08661812704,58199.380952380954
40,2.7e-06,59,0.052%,3286064,29108.80599526969,55696.0
40,2.8e-06,53,0.050%,2920337,27646.06704344286,55100.698113207545
40,2.8999999999999998e-06,51,0.050%,2737040,26774.925653466893,53667.450980392154
45,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
45,2e-07,52,0.064%,6250,76.71629699640354,120.1923076923077
45,3e-07,56,0.064%,6250,71.4563373196442,111.60714285714286
45,4e-07,57,0.060%,6250,66.25816300568229,109.64912280701755
45,5e-07,55,0.055%,6250,63.036440105296066,113.63636363636364
45,6e-07,58,0.055%,6250,59.803461902802624,107.75862068965517
45,7e-07,63,0.057%,6250,56.62565459256709,99.2063492063492
45,8e-07,62,0.054%,6250,54.24452564247216,100.80645161290323
45,9e-07,65,0.055%,6250,52.67904553998129,96.15384615384616
45,1e-06,68,0.056%,6250,51.415362087545965,91.91176470588235
45,1.1e-06,70,0.056%,6250,50.1673583073132,89.28571428571429
45,1.2e-06,75,0.059%,6250,49.1789089363979,83.33333333333333
45,1.2999999999999998e-06,75,0.058%,6250,48.31515395140655,83.33333333333333
45,1.4e-06,76,0.058%,6250,47.5639640188125,82.23684210526316
45,1.5e-06,77,0.058%,6250,46.8810945422905,81.16883116883118
45,1.6e-06,80,0.059%,6250,46.27744252341639,78.125
