constant, lambda, clicks, CTR, spend, CPM, CPC
34,2.1e-06,72,0.045%,6250.0,39331.18113110184,86805.55555555556
34,2.2e-06,77,0.047%,6207.752,37975.3346220667,80620.15584415584
34,2.3e-06,77,0.047%,6131.312,37776.71529968454,79627.42857142857
34,2.4e-06,63,0.043%,4969.53,34143.58149888697,78881.42857142857
34,2.4999999999999998e-06,61,0.043%,4804.887,33621.06316430276,78768.6393442623
34,2.5999999999999997e-06,60,0.044%,4492.399,32684.82895100621,74873.31666666667
34,2.7e-06,60,0.044%,4337.333,32147.442929143195,72288.88333333333
34,2.8e-06,59,0.045%,4156.351,31460.337284466445,70446.62711864407
34,2.8999999999999998e-06,58,0.046%,3881.788,30545.05681281672,66927.37931034483
34,3e-06,57,0.046%,3760.852,30108.49411576335,65979.85964912281
34,3.1e-06,57,0.048%,3426.024,28954.599235996076,60105.68421052631
34,3.2e-06,56,0.048%,3339.419,28596.05751034004,59632.482142857145
34,3.2999999999999997e-06,54,0.047%,3184.165,27980.606156468864,58966.01851851852
34,3.3999999999999996e-06,51,0.046%,3034.415,27312.71208561733,59498.333333333336
34,3.5e-06,45,0.043%,2665.983,25701.91946166379,59244.066666666666
34,3.6e-06,44,0.043%,2573.803,25262.588092106555,58495.52272727273
34,3.6999999999999997e-06,44,0.043%,2558.507,25177.199370202714,58147.88636363636
34,3.8e-06,44,0.044%,2497.763,24888.777065874827,56767.34090909091
34,3.9e-06,44,0.045%,2367.526,24241.046013965966,53807.40909090909
34,4e-06,43,0.044%,2357.446,24179.67732340482,54824.32558139535
34,4.1e-06,42,0.043%,2313.738,23954.962883203745,55089.0
34,4.2e-06,41,0.043%,2235.66,23574.70500775047,54528.29268292683
34,4.2999999999999995e-06,40,0.042%,2225.025,23512.14692549111,55625.625
34,4.4e-06,40,0.043%,2166.109,23217.59775338707,54152.725
34,4.5e-06,40,0.043%,2156.303,23152.693967831296,53907.575
34,4.6e-06,37,0.040%,2083.166,22787.013640490488,56301.78378378379
34,4.7e-06,37,0.041%,2072.595,22724.078195752518,56016.08108108108
34,4.8e-06,37,0.041%,2011.451,22411.210892236384,54363.54054054054
34,4.9e-06,37,0.042%,1983.447,22258.41095275502,53606.67567567567
35,2e-06,74,0.047%,6250.0,40025.61639449247,84459.45945945945
35,2.1e-06,72,0.046%,6250.0,39552.456049310844,86805.55555555556
35,2.2e-06,72,0.045%,6250.0,39281.49433089474,86805.55555555556
35,2.3e-06,77,0.047%,6181.019,37912.22130217438,80272.97402597402
35,2.4e-06,76,0.047%,6047.494,37569.30837614695,79572.28947368421
35,2.4999999999999998e-06,63,0.043%,4931.625,34037.96778156619,78279.76190476191
35,2.5999999999999997e-06,61,0.043%,4784.33,33562.23386717736,78431.6393442623
35,2.7e-06,60,0.044%,4466.223,32607.546233089237,74437.05
35,2.8e-06,59,0.044%,4228.305,31708.32395950506,71666.18644067796
35,2.8999999999999998e-06,59,0.045%,4157.646,31468.233905027173,70468.57627118644
35,3e-06,58,0.046%,3885.989,30571.377997356663,66999.81034482758
35,3.1e-06,57,0.046%,3763.472,30125.369215621922,66025.82456140351
35,3.2e-06,57,0.048%,3403.869,28873.753053745928,59717.0
35,3.2999999999999997e-06,55,0.047%,3299.52,28463.031495044124,59991.27272727273
35,3.3999999999999996e-06,54,0.048%,3161.784,27905.562959497984,58551.555555555555
35,3.5e-06,48,0.044%,2991.127,27144.68382459707,62315.145833333336
35,3.6e-06,45,0.043%,2668.752,25723.158777433997,59305.6
35,3.6999999999999997e-06,44,0.043%,2577.044,25288.442289953487,58569.181818181816
35,3.8e-06,44,0.043%,2561.846,25202.368889632173,58223.77272727273
35,3.9e-06,44,0.044%,2497.634,24899.152626856743,56764.40909090909
35,4e-06,44,0.045%,2371.475,24274.271968882746,53897.15909090909
35,4.1e-06,44,0.045%,2360.692,24206.267175259425,53652.09090909091
35,4.2e-06,42,0.043%,2319.174,24001.055594651654,55218.42857142857
35,4.2999999999999995e-06,41,0.043%,2238.395,23597.82196171038,54595.0
35,4.4e-06,40,0.042%,2227.343,23532.165534437037,55683.575
35,4.5e-06,40,0.043%,2168.343,23237.308842283495,54208.575
35,4.6e-06,40,0.043%,2160.171,23187.005570881145,54004.275
35,4.7e-06,39,0.043%,2087.988,22829.521102121143,53538.153846153844
35,4.8e-06,37,0.041%,2036.955,22554.893645292377,55052.83783783784
35,4.9e-06,37,0.041%,2014.084,22434.798106377057,54434.7027027027
36,2e-06,78,0.052%,6250.0,41844.92605164668,80128.20512820513
36,2.1e-06,73,0.047%,6250.0,39860.202298498705,85616.43835616438
36,2.2e-06,73,0.046%,6250.0,39509.700421647525,85616.43835616438
36,2.3e-06,79,0.048%,6250.0,38317.6997118509,79113.92405063291
36,2.4e-06,77,0.047%,6164.041,37875.455467141845,80052.48051948052
