c, lambda, clicks, CTR, spend, avgCPM, avgCPC
62,2.80E-06,78,0.06%,6250,44.87331366,80.12820513
62,2.90E-06,80,0.06%,6250,44.59221313,78.125
62,3.00E-06,80,0.06%,6250,43.79296089,78.125
62,3.10E-06,81,0.06%,6250,43.60505679,77.16049383
62,3.20E-06,83,0.06%,6250,42.0043819,75.30120482
62,3.30E-06,83,0.06%,6250,41.71784055,75.30120482
62,3.40E-06,77,0.05%,6250,39.81474993,81.16883117
62,3.50E-06,78,0.05%,6250,39.65257996,80.12820513
62,3.60E-06,78,0.05%,6250,39.4050779,80.12820513
62,3.70E-06,85,0.05%,6250,38.54955005,73.52941176
62,3.80E-06,84,0.05%,6118.873,38.09486247,72.84372619
62,3.90E-06,82,0.05%,5832.637,37.49541644,71.12971951
62,4.00E-06,66,0.05%,4619.575,33.4347203,69.99356061
62,4.10E-06,65,0.05%,4539.035,33.17571518,69.83130769
62,4.20E-06,63,0.05%,4360.526,32.65871268,69.21469841
62,4.30E-06,62,0.05%,4103.263,31.79222097,66.18166129
62,4.40E-06,62,0.05%,3726.584,30.58663624,60.10619355
62,4.50E-06,60,0.05%,3650.484,30.31686474,60.8414
62,4.60E-06,59,0.05%,3493.532,29.60344375,59.21240678
62,4.70E-06,57,0.05%,3328.159,28.9488201,58.38875439
62,4.80E-06,54,0.05%,3190.246,28.38802278,59.07862963
62,4.90E-06,48,0.05%,2836.867,26.93441253,59.10139583
64,1.00E-06,64,0.06%,6250,55.52890168,97.65625
64,1.10E-06,64,0.06%,6250,54.38045436,97.65625
64,1.20E-06,65,0.06%,6250,53.57770482,96.15384615
64,1.30E-06,65,0.06%,6250,52.71325675,96.15384615
64,1.40E-06,67,0.06%,6250,52.16984833,93.28358209
64,1.50E-06,69,0.06%,6250,51.37816798,90.57971014
64,1.60E-06,70,0.06%,6250,50.98087198,89.28571429
64,1.70E-06,70,0.06%,6250,50.17259372,89.28571429
64,1.80E-06,71,0.06%,6250,49.75362007,88.02816901
64,1.90E-06,75,0.06%,6250,49.08775319,83.33333333
64,2.00E-06,73,0.06%,6250,48.64721816,85.61643836
64,2.10E-06,74,0.06%,6250,48.15508248,84.45945946
64,2.20E-06,74,0.06%,6250,47.70446132,84.45945946
64,2.30E-06,74,0.06%,6250,47.31837316,84.45945946
64,2.40E-06,74,0.06%,6250,46.90783548,84.45945946
64,2.50E-06,74,0.06%,6250,46.65745959,84.45945946
64,2.60E-06,75,0.06%,6250,46.40354003,83.33333333
64,2.70E-06,76,0.06%,6250,46.06121351,82.23684211
64,2.80E-06,77,0.06%,6250,45.02784522,81.16883117
64,2.90E-06,78,0.06%,6250,44.86848151,80.12820513
64,3.00E-06,80,0.06%,6250,43.93271617,78.125
64,3.10E-06,80,0.06%,6250,43.78345056,78.125
64,3.20E-06,81,0.06%,6250,43.43505243,77.16049383
64,3.30E-06,82,0.06%,6250,41.87127764,76.2195122
64,3.40E-06,83,0.06%,6250,41.71449929,75.30120482
64,3.50E-06,78,0.05%,6250,39.74158432,80.12820513
64,3.60E-06,79,0.05%,6250,39.51569563,79.11392405
64,3.70E-06,79,0.05%,6250,39.29334842,79.11392405
64,3.80E-06,85,0.05%,6177.683,38.24977555,72.67862353
64,3.90E-06,83,0.05%,5869.433,37.61396145,70.71606024
64,4.00E-06,82,0.05%,5767.392,37.33858166,70.33404878
64,4.10E-06,66,0.05%,4593.178,33.36804405,69.59360606
64,4.20E-06,65,0.05%,4411.89,32.84586922,67.87523077
64,4.30E-06,64,0.05%,4282.103,32.45246684,66.90785938
64,4.40E-06,62,0.05%,4106.157,31.82524686,66.22833871
64,4.50E-06,62,0.05%,3713.991,30.56958837,59.90308065
64,4.60E-06,60,0.05%,3630.999,30.26185555,60.51665
64,4.70E-06,59,0.05%,3369.189,29.1603687,57.10489831
64,4.80E-06,59,0.05%,3255.233,28.69715429,55.17344068
64,4.90E-06,51,0.05%,3154.018,28.28588853,61.8434902
66,1.00E-06,63,0.06%,6250,56.00107522,99.20634921
66,1.10E-06,64,0.06%,6250,54.84476737,97.65625
66,1.20E-06,63,0.05%,6250,53.91788952,99.20634921
66,1.30E-06,65,0.06%,6250,52.99933857,96.15384615
66,1.40E-06,67,0.06%,6250,52.37839831,93.28358209
66,1.50E-06,68,0.06%,6250,51.69518863,91.91176471
66,1.60E-06,69,0.06%,6250,51.18084444,90.57971014
66,1.70E-06,70,0.06%,6250,50.32570798,89.28571429
66,1.80E-06,72,0.06%,6250,49.96003197,86.80555556
66,1.90E-06,74,0.06%,6250,49.21957443,84.45945946
66,2.00E-06,74,0.06%,6250,48.95932068,84.45945946
66,2.10E-06,73,0.06%,6250,48.36675153,85.61643836
66,2.20E-06,74,0.06%,6250,47.98353973,84.45945946
66,2.30E-06,73,0.06%,6250,47.50900771,85.61643836
66,2.40E-06,74,0.06%,6250,47.21399649,84.45945946
66,2.50E-06,74,0.06%,6250,46.7544903,84.45945946
66,2.60E-06,75,0.06%,6250,46.553201,83.33333333
66,2.70E-06,75,0.06%,6250,46.25689228,83.33333333
66,2.80E-06,77,0.06%,6250,45.87762053,81.16883117
66,2.90E-06,78,0.06%,6250,44.90103811,80.12820513
66,3.00E-06,79,0.06%,6250,44.69809121,79.11392405
66,3.10E-06,80,0.06%,6250,43.83350282,78.125
66,3.20E-06,80,0.06%,6250,43.63946124,78.125
66,3.30E-06,83,0.06%,6250,43.30474066,75.30120482
66,3.40E-06,83,0.06%,6250,41.76272092,75.30120482
66,3.50E-06,85,0.06%,6250,41.50038844,73.52941176
66,3.60E-06,78,0.05%,6250,39.70295835,80.12820513
66,3.70E-06,78,0.05%,6250,39.48648614,80.12820513
66,3.80E-06,79,0.05%,6250,39.29581892,79.11392405
66,3.90E-06,84,0.05%,6135.64,38.16242373,73.04333333
66,4.00E-06,83,0.05%,5852.794,37.58199237,70.51559036
66,4.10E-06,69,0.05%,4941.055,34.63542433,71.60949275
66,4.20E-06,67,0.05%,4555.784,33.268225,67.99677612
66,4.30E-06,65,0.05%,4371.062,32.72365338,67.24710769
66,4.40E-06,64,0.05%,4157.211,32.05819845,64.95642188
66,4.50E-06,63,0.05%,3768.224,30.80300491,59.81307937
66,4.60E-06,60,0.05%,3671.46,30.44833306,61.191
66,4.70E-06,60,0.05%,3622.164,30.26186776,60.3694
66,4.80E-06,59,0.05%,3351.874,29.09890701,56.81142373
66,4.90E-06,56,0.05%,3215.696,28.56162291,57.42314286
68,1.00E-06,64,0.06%,6250,56.70168563,97.65625
68,1.10E-06,65,0.06%,6250,55.26131973,96.15384615
68,1.20E-06,63,0.06%,6250,54.13833427,99.20634921
68,1.30E-06,65,0.06%,6250,53.46632904,96.15384615
68,1.40E-06,66,0.06%,6250,52.57269753,94.6969697
68,1.50E-06,67,0.06%,6250,52.06467682,93.28358209
68,1.60E-06,69,0.06%,6250,51.37563398,90.57971014
68,1.70E-06,70,0.06%,6250,50.63393689,89.28571429
68,1.80E-06,70,0.06%,6250,50.1259163,89.28571429
68,1.90E-06,75,0.06%,6250,49.42313319,83.33333333
68,2.00E-06,75,0.06%,6250,49.10588013,83.33333333
