c, lambda, clicks, CTR, spend, avgCPM, avgCPC
74,4.2e-06,47,0.052%,2235.7629999997453,24.659332053909353,47.569425531909474,
74,4.2999999999999995e-06,47,0.052%,2206.0609999997414,24.506343034878263,46.93746808510088,
74,4.4e-06,46,0.052%,2139.368999999723,24.195806331215273,46.508021739124416,
74,4.5e-06,46,0.053%,2101.765999999695,24.02375210030856,45.69056521738467,
74,4.6e-06,46,0.053%,2080.934999999693,23.90999862119327,45.23771739129767,
74,4.7e-06,45,0.052%,2040.5019999996532,23.72814698528581,45.34448888888118,
74,4.8e-06,45,0.053%,2005.8499999996134,23.582975721587367,44.574444444435855,
74,4.9e-06,45,0.053%,1978.8189999996016,23.449056737920102,43.9737555555467,
76,1e-06,63,0.056%,6250,55.31952557974863,99.2063492063492,
76,1.1e-06,65,0.056%,6250,53.48417296353663,96.15384615384616,
76,1.2e-06,67,0.056%,6250,52.13068537254673,93.28358208955224,
76,1.2999999999999998e-06,68,0.056%,6250,51.17581553779641,91.91176470588235,
76,1.4e-06,71,0.057%,6250,50.18185905722338,88.02816901408451,
76,1.5e-06,75,0.059%,6250,49.25137903861308,83.33333333333333,
76,1.6e-06,75,0.058%,6250,48.52785887322194,83.33333333333333,
76,1.6999999999999998e-06,76,0.058%,6250,47.82565444625544,82.23684210526316,
76,1.8e-06,77,0.058%,6250,47.152373839108556,81.16883116883118,
76,1.9e-06,77,0.058%,6250,46.702434504505845,81.16883116883118,
76,2e-06,80,0.059%,6250,46.21823882627858,78.125,
76,2.1e-06,81,0.059%,6250,45.86617351356905,77.1604938271605,
76,2.2e-06,86,0.061%,6250,44.67380971101406,72.67441860465117,
76,2.3e-06,85,0.060%,6250,43.784064001793396,73.52941176470588,
76,2.4e-06,85,0.059%,6250,43.423283217074726,73.52941176470588,
76,2.4999999999999998e-06,89,0.059%,6250,41.67639115793685,70.2247191011236,
76,2.5999999999999997e-06,83,0.053%,6250,39.76459360585335,75.3012048192771,
76,2.7e-06,87,0.054%,6250,39.03273753762756,71.83908045977012,
76,2.8e-06,86,0.055%,5896.618000002565,38.00738668593414,68.56532558142517,
76,2.8999999999999998e-06,73,0.052%,4922.940000002462,35.03024179203938,67.43753424660906,
76,3e-06,68,0.055%,3960.1430000007563,31.90498940567627,58.23739705883465,
76,3.1e-06,66,0.054%,3861.0890000006975,31.56573385983124,58.50134848485905,
76,3.2e-06,65,0.054%,3707.79100000075,30.95940315456986,57.04293846155,
76,3.2999999999999997e-06,62,0.054%,3467.060000000623,30.11064406309163,55.92032258065521,
76,3.3999999999999996e-06,54,0.051%,2970.9050000000166,28.031636850845565,55.016759259259565,
76,3.5e-06,54,0.052%,2879.0909999999717,27.647412998386454,53.31649999999948,
76,3.6e-06,53,0.052%,2790.836999999958,27.27024623802969,52.657301886791664,
